artist,artist_id
Elvis Depressedly,5a31Ij1sTxY9LUYVwgBp8m
Emancipator,6HCnsY0Rxi3cg53xreoAIm
"Emmylou Harris, Alison Krauss & Gillian Welch",
Empire! Empire! (I Was a Lonely Estate),3IaqcRr2teHDEqhRE5emu9
Endless,3OMUJeG9bXhIQvPGoFEIG8
Erasure,0z5DFXmhT4ZNzWElsM7V89
Eve 6,4Eqd24yS5YcxI8b6Xfuwr8
Everclear,694QW15WkebjcrWgQHzRYF
Everlast,14ZxDAK6ITtZZqPdiWrvSn
Explosions In The Sky,1uQWmt1OhuHGRKmZ2ZcL6p
FIDLAR,3P6duIn7oHeiBACZfYeNud
Facelessman,
Faith No More,6GbCJZrI318Ybm8mY36Of5
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX
Fang Island,1q9Q9kJLS8HS77bCaX86wS
Fastball,7FtVJzRtpQpU61nBwB7cKN
Fat Jon,5Fmr3KeGe2IAVFmMxUq1sD
Fiction Plane,3FJTU2gc2n20x6eGVSrdoc
Filter,01WjpKiWVNurV5hjIadB8C
Fine Young Cannibals,20p5D2KrE8CGuOjHtxsyTp
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X
Flobots,0rHiOzaAbw3cCp8D7yjyig
Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt
Florence and The Machine,1moxjboGR7GNWYIMWsRjgG
Flying Lotus,29XOeO6KIWxGthejQqn793
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD
For Everest,32A9j8L8J7YNxksAcISua0
Force of Nature,3y6EaAABBjwx6DGg2bEFrj
Form & Shape,653aZLoI2fl63i5WvLMe4U
Foster The People,7gP3bB2nilZXLfPHJhMdvc
Fountains of Wayne,1pgtr4nhBQjp9oCUBPyYWh
Frank Black,5Q8gM5SMBT2LAoZ5LzqAvH
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0
Free Energy,7MHvsuTLg2450NDMNafKVc
Freezepop,4gg8SEqY40Y6ygiwkcQOWD
Friendly Fires,3mZqziCJj4pq3P2VBpmK6p
Fuel,0EyuKHE1AeE9lWUF8mzKVp
